"Series";"V";"A";"Time";"Concentration"
"20220623_3_Trit_C";0.017341610478;0.1706851425;15;1764.79888060099
"20220623_3_Trit_C";0.017341610478;0.1706851425;30;1808.87539923262
"20220623_3_Trit_C";0.017341610478;0.1706851425;45;5608.01437851073
"20220623_4_3Spp_A";0.017341610478;0.1706851425;0;701.915137041918
"20220623_4_3Spp_A";0.017341610478;0.1706851425;15;2927.13120735642
"20220623_4_3Spp_A";0.017341610478;0.1706851425;30;4186.55556058707
"20220623_4_3Spp_A";0.017341610478;0.1706851425;45;5366.33639477636
"20220623_4_3Spp_B";0.017341610478;0.1706851425;0;719.223816711565
"20220623_4_3Spp_B";0.017341610478;0.1706851425;15;3073.16969974918
"20220623_4_3Spp_B";0.017341610478;0.1706851425;30;2213.90973291354
"20220623_4_3Spp_B";0.017341610478;0.1706851425;45;6111.83405829021
"20220623_4_3Spp_C";0.017341610478;0.1706851425;0;718.678002543164
"20220623_4_3Spp_C";0.017341610478;0.1706851425;15;2417.16747402255
"20220623_4_3Spp_C";0.017341610478;0.1706851425;30;3769.5870082122
"20220623_4_3Spp_C";0.017341610478;0.1706851425;45;1955.17654107437
"20220623_4_Clover_A";0.017341610478;0.1706851425;0;622.694340546406
"20220623_4_Clover_A";0.017341610478;0.1706851425;15;1866.58377518583
